,Location,Price,Area,Longitude,Latitude
56,"DurungbedugbedugdowoCandi,Sidoarjo",Rp179.000.000,Sidoarjo,112.66022171549456,-7.4559622
57,"Babelan,Bekasi",Rp332.000.000,Bekasi,106.9945444,-6.2349858
58,"Indonesia,15937,Tangerang,TigaraksaCisoka,Tangerang",Rp168.000.000,Tangerang,106.6384468,-6.1760311
59,"Cibiru,Bandung",Rp262.500.000,Bandung,107.6049539,-6.9344694
60,"KranjiKranji,Bekasi",Rp385.000.000,Bekasi,106.9945444,-6.2349858
61,"rencongBaleendah,Bandung",Rp240.000.000,Bandung,107.6049539,-6.9344694
62,"jlnazharipinangmasakSeiSelincah,Palembang",Rp285.000.000,Palembang,104.756857,-2.9888297
63,"JalanKaryaBaru,PerumahanFloristaGardenAlang-alangLebar,Palembang",Rp730.000.000,Palembang,104.756857,-2.9888297
64,"Jln.TentaraPelajarPurworejo,Purworejo",Rp290.000.000,Purworejo,109.96651169154023,-7.7073021
65,GandariaJakartaSelatan,Rp48.500.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
66,"CondongCatur,Sleman",Rp2.456.000.000,Sleman,110.38129042693123,-7.6894175
67,"PondokCabeUdik,TangerangSelatan",Rp920.000.000,Tangerang,106.6384468,-6.1760311
68,Makassar,Rp4.500.000.000,Makassar,119.4124282,-5.1342962
69,Sidoarjo,Rp650.000.000,Sidoarjo,112.66022171549456,-7.4559622
70,"Jl.CipunegaraTemplekDarunganPare,Kediri,JawaTimur64227Pare,Kediri",Rp39.000.000,Kediri,112.16852174866582,-7.8057219
71,"Indonesia,30149,Palembang,PerumahanDosenPoliteknikBukitLama,Palembang",Rp650.000.000,Palembang,104.756857,-2.9888297
72,CilebutBogor,Rp250.000.000,Bogor,106.7972421,-6.5962986
73,"ClusterGreenAvenueBlokCno6,JalanKpPakis,RawaKalong.Pamulang,TangerangSelatanPamulang,TangerangSelatan",Rp165.000.000,Tangerang,106.6384468,-6.1760311
74,"BumiSerpongDamai,TangerangSelatan",Rp1.550.000.000,Tangerang,106.6384468,-6.1760311
75,"Mexicano,Jl.DeLatinos,BSDCity,SerpongSub-District,SouthTangerangCITYBumiSerpongDamai,TangerangSelatan",Rp1.425.000.000,Tangerang,106.6384468,-6.1760311
76,"jlnbojongkulur,gunungputri,bogor,jawabaratGunungPutri,Bogor",Rp450.000.000,Bogor,106.7972421,-6.5962986
77,"Sedati,Sidoarjo",Rp435.000.000,Sidoarjo,112.66022171549456,-7.4559622
78,"Jl.TanjungDurenTimurNo.2,RT.12/RW.1,Tj.DurenSel.,Kec.Grogolpetamburan,KotaJakartaBarat,DaerahKhususIbukotaJakarta11470Grogol,JakartaBarat",Rp660.000.000,Jakarta Barat,106.74389124027667,-6.16156235
79,"Jl.PelikanCiputat,TangerangSelatan",Rp850.000.000,Tangerang,106.6384468,-6.1760311
80,"Setu,Bekasi",Rp365.000.000,Bekasi,106.9945444,-6.2349858
81,"JlnrayaserangpandeglangPabuaran,Serang",Rp35.000.000,Serang,105.98773335759398,-6.10565025
82,"JlmojosarirejodriyorejogresikDriyorejo,Gresik",Rp350.000.000,Gresik,112.6598223201143,-5.79334655
83,"Bintaro,TangerangSelatan",Rp750.000.000,Tangerang,106.6384468,-6.1760311
84,"Senayan,JakartaSelatan",Rp7.500.000.000,Jakarta Selatan,106.80486324917382,-6.28381815
85,"neocataloniaBumiSerpongDamai,TangerangSelatan",Rp2.250.000.000,Tangerang,106.6384468,-6.1760311
86,"Indonesia,TangerangSelatan,JalanMabartieCilalungCiputat,TangerangSelatan",Rp450.000.000,Tangerang,106.6384468,-6.1760311
87,Denpasar,Rp390.000.000,Denpasar,115.2191175,-8.6524973
88,"LabuanBajo,ManggaraiBarat",Rp158.544.000.000,Manggarai,106.8500581,-6.2101342
